verbatim;sentence_id;sentence;token;lemma;pos;term_type;aspect_index;sentiment_index;aspect;sentiment;emotion
pr_nl_e_0003;0;Heerlijk;['Heerlijk'];['heerlijk'];['ADJ(vrij,basis,zonder)'];NULL;[0];[0];PRODUCT_general;pos;joy
pr_nl_e_0004;4;Zeker een aanrader!;['Zeker', 'een', 'aanrader', '!'];['zeker', 'een', 'aanrader', '!'];['ADJ(vrij,basis,zonder)', 'LID(onbep)', 'N(soort,ev,basis,zijd,stan)', 'LET()'];NULL;[2];[2];PRODUCT_general;pos;satisfaction
pr_nl_e_0005;0;Er waren 4 lampen kapot;['Er', 'waren', '4', 'lampen', 'kapot'];['er', 'zijn', '4', 'lamp', 'kapot'];['VNW(aanw,adv-pron,3,getal)', 'WW(pv,verl,mv)', 'TW(hoofd,prenom,stan)', 'N(soort,mv,basis)', 'ADJ(vrij,basis,zonder)'];asp_sent;[2, 3];[4];PRODUCT_general;neg;dissatisfaction
pr_nl_e_0009;0;Geweldige smaak en aroma;['Geweldige', 'smaak', 'en', 'aroma'];['geweldig', 'smaak', 'en', 'aroma'];['ADJ(prenom,basis,met-e,stan)', 'N(soort,ev,basis,zijd,stan)', 'VG(neven)', 'N(soort,ev,basis,onz,stan)'];asp_sent;[1];[0];PRODUCT_quality;pos;joy
pr_nl_e_0009;0;Geweldige smaak en aroma;['Geweldige', 'smaak', 'en', 'aroma'];['geweldig', 'smaak', 'en', 'aroma'];['ADJ(prenom,basis,met-e,stan)', 'N(soort,ev,basis,zijd,stan)', 'VG(neven)', 'N(soort,ev,basis,onz,stan)'];asp_sent;[3];[0];PRODUCT_quality;pos;joy
pr_nl_e_0026;4;Mooie schuimlaag en heerlijk om van te genieten.;['Mooie', 'schuimlaag', 'en', 'heerlijk', 'om', 'van', 'te', 'genieten', '.'];['mooi', 'schuimlaag', 'en', 'heerlijk', 'om', 'van', 'te', 'genieten', '.'];['ADJ(prenom,basis,met-e,stan)', 'N(soort,ev,basis,zijd,stan)', 'VG(neven)', 'ADJ(vrij,basis,zonder)', 'VZ(init)', 'VZ(init)', 'VZ(init)', 'WW(inf,vrij,zonder)', 'LET()'];asp_sent;[1];[0];PRODUCT_quality;pos;satisfaction
pr_nl_e_0026;4;Mooie schuimlaag en heerlijk om van te genieten.;['Mooie', 'schuimlaag', 'en', 'heerlijk', 'om', 'van', 'te', 'genieten', '.'];['mooi', 'schuimlaag', 'en', 'heerlijk', 'om', 'van', 'te', 'genieten', '.'];['ADJ(prenom,basis,met-e,stan)', 'N(soort,ev,basis,zijd,stan)', 'VG(neven)', 'ADJ(vrij,basis,zonder)', 'VZ(init)', 'VZ(init)', 'VZ(init)', 'WW(inf,vrij,zonder)', 'LET()'];NULL;[3, 4, 5, 6, 7];[3, 4, 5, 6, 7];PRODUCT_general;pos;joy
pr_nl_e_0031;4;Totaal onnodig!;['Totaal', 'onnodig', '!'];['totaal', 'onnodig', '!'];['ADJ(vrij,basis,zonder)', 'ADJ(vrij,basis,zonder)', 'LET()'];NULL;[0, 1];[0, 1];PACKAGING_misc;neg;sadness
pr_nl_e_0037;0;Super lekker;['Super', 'lekker'];['super', 'lekker'];['N(soort,ev,basis,zijd,stan)', 'ADJ(vrij,basis,zonder)'];NULL;[0, 1];[0, 1];PRODUCT_quality;very_pos;joy
pr_nl_e_0042;0;Leuke kado;['Leuke', 'kado'];['leuk', 'kado'];['ADJ(prenom,basis,met-e,stan)', 'N(soort,ev,basis,onz,stan)'];asp_sent;[1];[0];PRODUCT_general;pos;satisfaction
pr_nl_e_0043;0;Smaakt goed.;['Smaakt', 'goed', '.'];['Smaakt', 'goed', '.'];['N(eigen,ev,basis,zijd,stan)', 'ADJ(vrij,basis,zonder)', 'LET()'];NULL;[0, 1];[0, 1];PRODUCT_quality;pos;satisfaction
pr_nl_e_0045;0;Lekker.;['Lekker', '.'];['lekker', '.'];['ADJ(vrij,basis,zonder)', 'LET()'];NULL;[0];[0];PRODUCT_quality;pos;satisfaction
pr_nl_e_0049;0;Goed verpakt;['Goed', 'verpakt'];['goed', 'verpakken'];['ADJ(vrij,basis,zonder)', 'WW(vd,vrij,zonder)'];NULL;[0, 1];[0, 1];PACKAGING_general;pos;satisfaction
pr_nl_e_0059;2;Voor ieder wat wils.;['Voor', 'ieder', 'wat', 'wils', '.'];['voor', 'ieder', 'wat', 'wil', '.'];['VZ(init)', 'VNW(onbep,det)', 'VNW(onbep,pron,3o,ev)', 'N(soort,ev,basis,gen)', 'LET()'];NULL;[0, 1, 2, 3];[0, 1, 2, 3];PRODUCT_options;pos;joy
pr_nl_e_0060;3;De verschillende smaken zijn lekker.;['De', 'verschillende', 'smaken', 'zijn', 'lekker', '.'];['de', 'verschillend', 'smaak', 'zijn', 'lekker', '.'];['LID(bep)', 'ADJ(prenom,basis,met-e,stan)', 'N(soort,mv,basis)', 'WW(pv,tgw,mv)', 'ADJ(vrij,basis,zonder)', 'LET()'];asp_sent;[1, 2];[4];PRODUCT_quality;pos;satisfaction
pr_nl_e_0063;0;is lekker;['is', 'lekker'];['zijn', 'lekker'];['WW(pv,tgw,ev)', 'ADJ(vrij,basis,zonder)'];NULL;[1];[1];PRODUCT_quality;pos;satisfaction
pr_nl_e_0065;0;Lekker en gemakkelijk voor singles;['Lekker', 'en', 'gemakkelijk', 'voor', 'singles'];['lekker', 'en', 'gemakkelijk', 'voor', 'single'];['ADJ(vrij,basis,zonder)', 'VG(neven)', 'ADJ(vrij,basis,zonder)', 'VZ(init)', 'N(soort,mv,basis)'];NULL;[0];[0];PRODUCT_quality;pos;satisfaction
pr_nl_e_0065;0;Lekker en gemakkelijk voor singles;['Lekker', 'en', 'gemakkelijk', 'voor', 'singles'];['lekker', 'en', 'gemakkelijk', 'voor', 'single'];['ADJ(vrij,basis,zonder)', 'VG(neven)', 'ADJ(vrij,basis,zonder)', 'VZ(init)', 'N(soort,mv,basis)'];NULL;[2];[2];PRODUCT_usability;pos;satisfaction
pr_nl_e_0070;0;Geweldige zachte matcha.;['Geweldige', 'zachte', 'matcha', '.'];['geweldig', 'zacht', 'matcha', '.'];['ADJ(prenom,basis,met-e,stan)', 'ADJ(prenom,basis,met-e,stan)', 'N(soort,ev,basis,zijd,stan)', 'LET()'];asp_sent;[2];[0];PRODUCT_general;pos;joy
pr_nl_e_0070;0;Geweldige zachte matcha.;['Geweldige', 'zachte', 'matcha', '.'];['geweldig', 'zacht', 'matcha', '.'];['ADJ(prenom,basis,met-e,stan)', 'ADJ(prenom,basis,met-e,stan)', 'N(soort,ev,basis,zijd,stan)', 'LET()'];asp_sent;[2];[1];PRODUCT_quality;pos;satisfaction
pr_nl_e_0073;0;Superlekkere koffiebonen.;['Superlekkere', 'koffiebonen', '.'];['superlek', 'koffieboon', '.'];['ADJ(prenom,comp,met-e,stan)', 'N(soort,mv,basis)', 'LET()'];asp_sent;[1];[0];PRODUCT_quality;pos;joy
pr_nl_e_0081;0;Lekkere vanillesmaak;['Lekkere', 'vanillesmaak'];['lekker', 'vanillesmaak'];['ADJ(prenom,basis,met-e,stan)', 'N(soort,ev,basis,zijd,stan)'];asp_sent;[1];[0];PRODUCT_quality;pos;satisfaction
pr_nl_e_0084;0;De smaken vallen wat tegen.;['De', 'smaken', 'vallen', 'wat', 'tegen', '.'];['de', 'smaak', 'vallen', 'wat', 'tegen', '.'];['LID(bep)', 'N(soort,mv,basis)', 'WW(pv,tgw,mv)', 'VNW(onbep,pron,3o,ev)', 'VZ(fin)', 'LET()'];asp_sent;[1];[2, 3, 4];PRODUCT_quality;neg;dissatisfaction
