verbatim;sentence_id;sentence;token;lemma;pos;term_type;aspect_index;sentiment_index;aspect;sentiment;emotion
al_nl_e_0001;0;Prima vlucht van Glasgow naar Amsterdam.;['Prima', 'vlucht', 'van', 'Glasgow', 'naar', 'Amsterdam', '.'];['prima', 'vlucht', 'van', 'Glasgow', 'naar', 'Amsterdam', '.'];['ADJ(vrij,basis,zonder)', 'N(soort,ev,basis,zijd,stan)', 'VZ(init)', 'N(eigen,ev,basis,onz,stan)', 'VZ(init)', 'N(eigen,ev,basis,onz,stan)', 'LET()'];asp_sent;[1];[0];FLIGHT_general;pos;satisfaction
al_nl_e_0002;1;Goede prijs kwaliteit verhouding!;['Goede', 'prijs', 'kwaliteit', 'verhouding', '!'];['goed', 'prijs', 'kwaliteit', 'verhouding', '!'];['ADJ(prenom,basis,met-e,stan)', 'N(soort,ev,basis,zijd,stan)', 'N(soort,ev,basis,zijd,stan)', 'N(soort,ev,basis,zijd,stan)', 'LET()'];asp_sent;[1, 2, 3];[0];COMPANY_misc;pos;joy
al_nl_e_0004;0;Misleidende en valse verkooptechniekjes.;['Misleidende', 'en', 'valse', 'verkooptechniekjes', '.'];['misleiden', 'en', 'vals', 'verkooptechniek', '.'];['WW(od,prenom,met-e)', 'VG(neven)', 'ADJ(prenom,basis,met-e,stan)', 'N(soort,mv,dim)', 'LET()'];asp_sent;[3];[0];MARCOM_general;neg;distrust
al_nl_e_0004;0;Misleidende en valse verkooptechniekjes.;['Misleidende', 'en', 'valse', 'verkooptechniekjes', '.'];['misleiden', 'en', 'vals', 'verkooptechniek', '.'];['WW(od,prenom,met-e)', 'VG(neven)', 'ADJ(prenom,basis,met-e,stan)', 'N(soort,mv,dim)', 'LET()'];asp_sent;[3];[2];MARCOM_general;neg;distrust
al_nl_e_0005;11;Kan zeker in tijd van smartphones, social media sneller en efficiënter.;['Kan', 'zeker', 'in', 'tijd', 'van', 'smartphones', ',', 'social', 'media', 'sneller', 'en', 'efficiënter', '.'];['kunnen', 'zeker', 'in', 'tijd', 'van', 'smartphone', ',', 'social', 'media', 'snel', 'en', 'efficiënt', '.'];['WW(pv,tgw,ev)', 'ADJ(vrij,basis,zonder)', 'VZ(init)', 'N(soort,ev,basis,zijd,stan)', 'VZ(init)', 'N(soort,mv,basis)', 'LET()', 'SPEC(vreemd)', 'N(soort,mv,basis)', 'ADJ(vrij,comp,zonder)', 'VG(neven)', 'ADJ(vrij,comp,zonder)', 'LET()'];;;;;;
al_nl_e_0008;0;Prima toestel, fijn gastvrij cabinepersoneel.;['Prima', 'toestel', ',', 'fijn', 'gastvrij', 'cabinepersoneel', '.'];['prima', 'toestel', ',', 'fijn', 'gastvrij', 'cabinepersoneel', '.'];['ADJ(prenom,basis,zonder)', 'N(soort,ev,basis,onz,stan)', 'LET()', 'ADJ(vrij,basis,zonder)', 'ADJ(prenom,basis,zonder)', 'N(soort,ev,basis,onz,stan)', 'LET()'];asp_sent;[1];[0];FLIGHT_general;pos;satisfaction
al_nl_e_0008;0;Prima toestel, fijn gastvrij cabinepersoneel.;['Prima', 'toestel', ',', 'fijn', 'gastvrij', 'cabinepersoneel', '.'];['prima', 'toestel', ',', 'fijn', 'gastvrij', 'cabinepersoneel', '.'];['ADJ(prenom,basis,zonder)', 'N(soort,ev,basis,onz,stan)', 'LET()', 'ADJ(vrij,basis,zonder)', 'ADJ(prenom,basis,zonder)', 'N(soort,ev,basis,onz,stan)', 'LET()'];asp_sent;[5];[4];PERSONNEL_hospitality;pos;satisfaction
al_nl_e_0008;0;Prima toestel, fijn gastvrij cabinepersoneel.;['Prima', 'toestel', ',', 'fijn', 'gastvrij', 'cabinepersoneel', '.'];['prima', 'toestel', ',', 'fijn', 'gastvrij', 'cabinepersoneel', '.'];['ADJ(prenom,basis,zonder)', 'N(soort,ev,basis,onz,stan)', 'LET()', 'ADJ(vrij,basis,zonder)', 'ADJ(prenom,basis,zonder)', 'N(soort,ev,basis,onz,stan)', 'LET()'];asp_sent;[5];[3];PERSONNEL_general;pos;satisfaction
al_nl_e_0010;0;Gematigd tevreden;['Gematigd', 'tevreden'];['matigen', 'tevreden'];['WW(vd,vrij,zonder)', 'ADJ(vrij,basis,zonder)'];NULL;[0, 1];[0, 1];FLIGHT_general;neu;neutral
al_nl_e_0011;0;Eindelijk een weekendje weg samen met je vrouw naar Rome!;['Eindelijk', 'een', 'weekendje', 'weg', 'samen', 'met', 'je', 'vrouw', 'naar', 'Rome', '!'];['eindelijk', 'een', 'weekend', 'weg', 'samen', 'met', 'je', 'vrouw', 'naar', 'Rome', '!'];['BW()', 'LID(onbep)', 'N(soort,ev,dim,onz,stan)', 'BW()', 'BW()', 'VZ(init)', 'VNW(bez,det,2v,ev)', 'N(soort,ev,basis,zijd,stan)', 'VZ(init)', 'N(eigen,ev,basis,onz,stan)', 'LET()'];;;;;;
