verbatim;sentence_id;sentence;token;lemma;pos;term_type;aspect_index;sentiment_index;aspect;sentiment;emotion
ho_nl_e_0003;1;De kamers waren netjes.;['De', 'kamers', 'waren', 'netjes', '.'];['de', 'kamer', 'zijn', 'net', '.'];['LID(bep)', 'N(soort,mv,basis)', 'WW(pv,verl,mv)', 'ADJ(vrij,dim,zonder)', 'LET()'];asp_sent;[1];[3];ROOM_cleanliness;pos;satisfaction
ho_nl_e_0003;3;Wij komen zeker terug.;['Wij', 'komen', 'zeker', 'terug', '.'];['wij', 'komen', 'zeker', 'terug', '.'];['VNW(pers,pron,1,mv)', 'WW(pv,tgw,mv)', 'ADJ(vrij,basis,zonder)', 'BW()', 'LET()'];NULL;[0, 1, 2, 3];[0, 1, 2, 3];HOTEL_general;pos;trust
ho_nl_e_0004;1;Ze geven niks om haar gasten.;['Ze', 'geven', 'niks', 'om', 'haar', 'gasten', '.'];['ze', 'geven', 'niks', 'om', 'haar', 'gast', '.'];['VNW(pers,pron,3,mv)', 'WW(pv,tgw,mv)', 'VNW(onbep,pron,3o,ev)', 'VZ(init)', 'VNW(bez,det,3,ev)', 'N(soort,mv,basis)', 'LET()'];NULL;[0, 1, 2, 3, 4, 5];[0, 1, 2, 3, 4, 5];PERSONNEL_hospitality;very_neg;sadness
ho_nl_e_0006;3;Ontbïjt in aparte ruimte met voldoende keus.;['Ontbïjt', 'in', 'aparte', 'ruimte', 'met', 'voldoende', 'keus', '.'];['ontbïjten', 'in', 'apart', 'ruimte', 'met', 'voldoende', 'keus', '.'];['WW(pv,tgw,ev)', 'VZ(init)', 'ADJ(prenom,basis,met-e,stan)', 'N(soort,ev,basis,zijd,stan)', 'VZ(init)', 'ADJ(prenom,basis,zonder)', 'N(soort,ev,basis,zijd,stan)', 'LET()'];asp_sent;[0, 1, 2, 3];[5, 6];FOOD&DRINKS_options;pos;satisfaction
ho_nl_e_0008;5;Geen probleem.;['Geen', 'probleem', '.'];['geen', 'probleem', '.'];['VNW(onbep,det)', 'N(soort,ev,basis,onz,stan)', 'LET()'];NULL;[0, 1];[0, 1];FACILITIES_misc;pos;satisfaction
ho_nl_e_0009;3;Goede bedden met fijn beddengoed.;['Goede', 'bedden', 'met', 'fijn', 'beddengoed', '.'];['goed', 'bed', 'met', 'fijn', 'beddengoeden', '.'];['ADJ(prenom,basis,met-e,stan)', 'N(soort,mv,basis)', 'VZ(init)', 'N(soort,ev,basis,zijd,stan)', 'WW(vd,vrij,zonder)', 'LET()'];asp_sent;[1];[0];AMENITIES_general;pos;satisfaction
ho_nl_e_0009;3;Goede bedden met fijn beddengoed.;['Goede', 'bedden', 'met', 'fijn', 'beddengoed', '.'];['goed', 'bed', 'met', 'fijn', 'beddengoeden', '.'];['ADJ(prenom,basis,met-e,stan)', 'N(soort,mv,basis)', 'VZ(init)', 'N(soort,ev,basis,zijd,stan)', 'WW(vd,vrij,zonder)', 'LET()'];asp_sent;[4];[3];AMENITIES_comfort;pos;satisfaction
ho_nl_e_0009;5;Houtkachel.;['Houtkachel', '.'];['houtkachelen', '.'];['WW(pv,tgw,ev)', 'LET()'];;;;;;
ho_nl_e_0010;0;Wat een prachtig hotel!;['Wat', 'een', 'prachtig', 'hotel', '!'];['wat', 'een', 'prachtig', 'hotel', '!'];['VNW(vb,pron,3o,ev)', 'LID(onbep)', 'ADJ(prenom,basis,zonder)', 'N(soort,ev,basis,onz,stan)', 'LET()'];asp_sent;[3];[2];HOTEL_appearance;pos;joy
ho_nl_e_0010;2;Ligbad in het midden van de kamer, zooo leuk!;['Ligbad', 'in', 'het', 'midden', 'van', 'de', 'kamer', ',', 'zooo', 'leuk', '!'];['Ligbad', 'in', 'het', 'midden', 'van', 'de', 'kamer', ',', 'zooo', 'leuk', '!'];['N(eigen,ev,basis,onz,stan)', 'VZ(init)', 'LID(bep)', 'N(soort,ev,basis,onz,stan)', 'VZ(init)', 'LID(bep)', 'N(soort,ev,basis,zijd,stan)', 'LET()', 'BW()', 'ADJ(vrij,basis,zonder)', 'LET()'];asp_sent;[0, 1, 2, 3, 4, 5, 6];[8, 9];AMENITIES_misc;very_pos;joy
